# peak at t=250.7s, 12697620480 allocated bytes
size	blocks	path
4563402752	4563406848	.build-tmp/column-8.arena
1342177280	1342181376	.build-tmp/column-3.arena
1006312728	1006481408	.build-tmp/column-7.at
1006312728	1006465024	.build-tmp/column-2.at
503156368	503160832	v00000/partitions/default/entities/terms/offsets.u32
503156364	503160832	v00000/partitions/default/entities/terms/terms.u32
503156364	503160832	.build-tmp/x-of-ordinal-0.u32
503156364	503160832	.build-tmp/y-of-ordinal-0.u32
503156364	503160832	.build-tmp/entity-of-ordinal.u32
488795770	488800256	v00000/partitions/default/attrs/specieskey/values.arrow
326472875	326475776	v00000/partitions/default/members/members-000000-002.tsmb
278538037	278544384	v00000/partitions/default/members/members-000000-001.tsmb
251578182	251699200	.build-tmp/column-5.col
243206776	243208192	v00000/partitions/default/attrs/year/values.arrow.spool
238738645	238739456	v00000/partitions/default/members/members-000000-000.tsmb
232919040	232919040	v00000/partitions/default/attrs/year/values.arrow
125789091	125792256	.build-tmp/column-0.col
15723640	15749120	.build-tmp/column-6.present
15723640	15749120	.build-tmp/column-9.present
15723640	15740928	.build-tmp/column-4.present
15723640	15740928	.build-tmp/column-1.present
10659604	10661888	v00000/partitions/default/attrs/specieskey/presence.roaring
2312606	2314240	v00000/partitions/default/attrs/specieskey/dict.bin
1056194	1056768	v00000/partitions/default/terms/pairs.parquet
33714	36864	v00000/partitions/default/terms/postings.arrow
27124	28672	v00000/partitions/default/entities/terms/hasrow.roaring
20096	20480	reports/containment.json
1530	4096	v00000/dictionary/terms-0.dict
